Cluster p(FWE-corr),Cluster p(FDR-corr),Cluster size (equivk),Cluster p(unc),Peak (FWE-corr),Peak (FDR-corr),Peak F,Peak equivZ,Peak p(unc),x (mm),y (mm),z (mm),Juelich Histological Atlas,Harvard-Oxford Cortical Structural Atlas,Harvard-Oxford Subcortical Structural Atlas
0,0,2491,0,0,0.003,7.38,6.27,0,-42,-54,24,14.0% GM Inferior parietal lobule Pga L; 9.0% GM Inferior parietal lobule PFm L,"39.0% Angular Gyrus; 12.0% Supramarginal Gyrus, posterior division; 2.0% Middle Temporal Gyrus, temporooccipital part",53.8% Left Cerebral Cortex ; 44.5% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0,0.009,6.74,5.85,0,-48,-58,50,52.0% GM Inferior parietal lobule Pga L; 50.0% GM Inferior parietal lobule PFm L; 10.0% GM Anterior intra-parietal sulcus hIP1 L; 3.0% GM Anterior intra-parietal sulcus hIP3 L,"50.0% Angular Gyrus; 24.0% Lateral Occipital Cortex, superior division; 8.0% Supramarginal Gyrus, posterior division; 1.0% Superior Parietal Lobule",85.4% Left Cerebral Cortex ; 4.3% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.002,0.011,6.26,5.52,0,-50,-58,40,66.0% GM Inferior parietal lobule Pga L; 33.0% GM Inferior parietal lobule PFm L; 12.0% GM Inferior parietal lobule PF L,"45.0% Angular Gyrus; 24.0% Lateral Occipital Cortex, superior division; 5.0% Supramarginal Gyrus, posterior division",78.1% Left Cerebral Cortex ; 20.9% Left Cerebral White Matter
0,0,3601,0,0,0.004,7.19,6.14,0,8,-22,34,60.0% WM Cingulum R; 1.0% WM Callosal body,"3.0% Cingulate Gyrus, posterior division",96.9% Right Cerebral White Matter; 3.1% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.002,0.009,6.36,5.59,0,10,-44,8,34.0% WM Callosal body; 8.0% WM Cingulum R,"41.0% Cingulate Gyrus, posterior division; 4.0% Precuneous Cortex",50.9% Right Cerebral White Matter; 45.7% Right Cerebral Cortex ; 3.3% Right Hippocampus
NaN,NaN,NaN,NaN,0.003,0.012,6.18,5.46,0,-6,-60,38,10.0% GM Superior parietal lobule 7A L,"76.0% Precuneous Cortex; 2.0% Cingulate Gyrus, posterior division",78.6% Left Cerebral Cortex ; 21.4% Left Cerebral White Matter
0,0,326,0,0.001,0.009,6.6,5.75,0,-26,-12,-30,84.0% GM Hippocampus subiculum L; 74.0% GM Hippocampus entorhinal cortex L; 21.0% GM Hippocampus cornu ammonis L; 13.0% GM Amygdala_laterobasal group L,"29.0% Parahippocampal Gyrus, anterior division; 2.0% Temporal Fusiform Cortex, posterior division",55.6% Left Cerebral White Matter; 30.6% Left Cerebral Cortex ; 13.7% Left Hippocampus
NaN,NaN,NaN,NaN,0.001,0.009,6.43,5.63,0,-26,-2,-36,77.0% GM Hippocampus entorhinal cortex L; 17.0% GM Amygdala_laterobasal group L; 9.0% GM Hippocampus subiculum L,"74.0% Parahippocampal Gyrus, anterior division; 9.0% Temporal Fusiform Cortex, anterior division; 4.0% Temporal Fusiform Cortex, posterior division; 1.0% Temporal Pole",89.1% Left Cerebral Cortex ; 10.9% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.021,0.034,5.61,5.05,0,-38,-6,-38,,"28.0% Temporal Fusiform Cortex, anterior division; 16.0% Inferior Temporal Gyrus, anterior division; 12.0% Temporal Fusiform Cortex, posterior division; 5.0% Inferior Temporal Gyrus, posterior division",63.4% Left Cerebral Cortex ; 36.6% Left Cerebral White Matter
0,0,137,0,0.001,0.009,6.55,5.72,0,2,-28,-32,,,100.0% Brain-Stem
NaN,NaN,NaN,NaN,0.453,0.276,4.57,4.24,0,-10,-32,-28,,,92.1% Brain-Stem
NaN,NaN,NaN,NaN,0.855,0.637,4.17,3.91,0,12,-26,-26,,,100.0% Brain-Stem
0,0.001,124,0,0.001,0.009,6.48,5.67,0,-8,40,6,20.0% WM Cingulum L,"43.0% Cingulate Gyrus, anterior division; 16.0% Paracingulate Gyrus",60.0% Left Cerebral Cortex ; 40.0% Left Cerebral White Matter
0,0,2539,0,0.001,0.009,6.46,5.66,0,42,-62,32,65.0% GM Inferior parietal lobule PGp R; 23.0% GM Inferior parietal lobule Pga R,"40.0% Lateral Occipital Cortex, superior division; 5.0% Angular Gyrus",56.1% Right Cerebral White Matter; 43.9% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.002,0.011,6.27,5.52,0,54,-50,46,86.0% GM Inferior parietal lobule PFm R; 23.0% GM Inferior parietal lobule Pga R,"65.0% Angular Gyrus; 12.0% Supramarginal Gyrus, posterior division",80.8% Right Cerebral Cortex ; 15.6% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.007,0.021,5.94,5.29,0,44,-60,48,45.0% GM Inferior parietal lobule Pga R; 15.0% GM Anterior intra-parietal sulcus hIP1 R; 10.0% GM Anterior intra-parietal sulcus hIP3 R; 5.0% GM Inferior parietal lobule PGp R; 3.0% GM Inferior parietal lobule PFm R; 1.0% GM Superior parietal lobule 7A R,"45.0% Lateral Occipital Cortex, superior division; 14.0% Angular Gyrus; 1.0% Superior Parietal Lobule",63.6% Right Cerebral Cortex ; 27.3% Right Cerebral White Matter
0,0,1602,0,0.001,0.009,6.45,5.65,0,-50,6,40,19.0% GM Premotor cortex BA6 L; 10.0% GM Broca's area BA44 L,"41.0% Precentral Gyrus; 36.0% Middle Frontal Gyrus; 3.0% Inferior Frontal Gyrus, pars opercularis",87.8% Left Cerebral Cortex ; 7.7% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.001,0.009,6.44,5.64,0,-24,30,36,,32.0% Superior Frontal Gyrus; 28.0% Middle Frontal Gyrus; 2.0% Frontal Pole,71.5% Left Cerebral Cortex ; 28.5% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.001,0.009,6.43,5.64,0,-30,30,42,,64.0% Middle Frontal Gyrus; 7.0% Superior Frontal Gyrus; 2.0% Frontal Pole,78.7% Left Cerebral Cortex ; 19.8% Left Cerebral White Matter
0,0,408,0,0.001,0.009,6.38,5.6,0,8,52,6,,"74.0% Paracingulate Gyrus; 9.0% Frontal Pole; 1.0% Frontal Medial Cortex; 1.0% Cingulate Gyrus, anterior division",85.9% Right Cerebral Cortex ; 14.1% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.014,0.028,5.74,5.14,0,22,64,-4,,84.0% Frontal Pole,83.4% Right Cerebral Cortex ; 16.3% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.036,0.047,5.45,4.93,0,10,42,4,,"45.0% Cingulate Gyrus, anterior division; 23.0% Paracingulate Gyrus",68.1% Right Cerebral Cortex ; 31.9% Right Cerebral White Matter
0,0,230,0,0.007,0.021,5.95,5.3,0,52,-6,-8,,"11.0% Superior Temporal Gyrus, anterior division; 11.0% Planum Polare; 3.0% Superior Temporal Gyrus, posterior division; 1.0% Heschl's Gyrus (includes H1 and H2)",68.6% Right Cerebral White Matter; 31.4% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.113,0.088,5.09,4.65,0,60,-12,-12,,"42.0% Middle Temporal Gyrus, posterior division; 11.0% Superior Temporal Gyrus, posterior division; 10.0% Middle Temporal Gyrus, anterior division; 3.0% Superior Temporal Gyrus, anterior division",79.7% Right Cerebral Cortex ; 19.0% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.512,0.308,4.51,4.19,0,58,-26,-14,,"26.0% Middle Temporal Gyrus, posterior division; 12.0% Inferior Temporal Gyrus, posterior division",59.4% Right Cerebral White Matter; 40.6% Right Cerebral Cortex 
0.001,0.001,108,0,0.007,0.021,5.95,5.3,0,28,44,34,,71.0% Frontal Pole; 4.0% Middle Frontal Gyrus,76.7% Right Cerebral Cortex ; 22.1% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.538,0.323,4.49,4.17,0,38,36,40,,40.0% Frontal Pole; 37.0% Middle Frontal Gyrus; 1.0% Superior Frontal Gyrus,84.1% Right Cerebral Cortex ; 4.0% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.732,0.495,4.3,4.02,0,20,52,34,,76.0% Frontal Pole,79.4% Right Cerebral Cortex ; 11.9% Right Cerebral White Matter
0,0,131,0,0.013,0.028,5.76,5.16,0,48,-18,30,36.0% GM Inferior parietal lobule PFop R; 30.0% GM Inferior parietal lobule PFt R; 10.0% GM Secondary somatosensory cortex / Parietal operculum OP3 R; 10.0% GM Secondary somatosensory cortex / Parietal operculum OP4 R; 6.0% GM Secondary somatosensory cortex / Parietal operculum OP1 R; 3.0% GM Primary somatosensory cortex BA3a R; 3.0% GM Primary somatosensory cortex BA3b R,"8.0% Postcentral Gyrus; 4.0% Supramarginal Gyrus, anterior division",87.4% Right Cerebral White Matter; 12.6% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.019,0.034,5.64,5.07,0,44,-22,36,27.0% GM Inferior parietal lobule PFt R; 10.0% GM Primary somatosensory cortex BA3b R; 4.0% GM Primary somatosensory cortex BA3a R; 3.0% GM Primary motor cortex BA4p R; 2.0% GM Primary somatosensory cortex BA2 R,"17.0% Postcentral Gyrus; 5.0% Supramarginal Gyrus, anterior division; 1.0% Precentral Gyrus",75.8% Right Cerebral White Matter; 24.2% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.036,0.047,5.45,4.93,0,38,-28,34,10.0% GM Anterior intra-parietal sulcus hIP2 R; 1.0% GM Superior parietal lobule 7PC R,"2.0% Supramarginal Gyrus, anterior division; 1.0% Postcentral Gyrus",97.2% Right Cerebral White Matter; 2.8% Right Cerebral Cortex 
0,0,171,0,0.014,0.029,5.73,5.13,0,26,20,42,,26.0% Middle Frontal Gyrus; 16.0% Superior Frontal Gyrus,53.8% Right Cerebral Cortex ; 46.2% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.139,0.099,5.02,4.6,0,26,10,40,,2.0% Middle Frontal Gyrus; 1.0% Superior Frontal Gyrus,94.5% Right Cerebral White Matter; 5.5% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.417,0.258,4.61,4.27,0,20,32,42,9.0% GM Premotor cortex BA6 R,41.0% Superior Frontal Gyrus; 12.0% Middle Frontal Gyrus; 10.0% Frontal Pole,73.6% Right Cerebral Cortex ; 26.4% Right Cerebral White Matter
0.061,0.075,35,0.018,0.016,0.031,5.7,5.11,0,16,-86,-40,,,
0,0.001,126,0,0.017,0.032,5.68,5.1,0,-26,56,-4,,63.0% Frontal Pole,64.1% Left Cerebral Cortex ; 35.9% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.592,0.367,4.44,4.13,0,-34,52,-8,,47.0% Frontal Pole,53.6% Left Cerebral White Matter; 46.4% Left Cerebral Cortex 
0,0,134,0,0.017,0.032,5.67,5.1,0,14,-72,-22,,,0.0% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.565,0.344,4.46,4.15,0,26,-72,-20,,10.0% Occipital Fusiform Gyrus; 1.0% Lingual Gyrus,10.3% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.607,0.375,4.42,4.12,0,24,-80,-26,,"2.0% Lateral Occipital Cortex, inferior division; 1.0% Occipital Fusiform Gyrus",3.3% Right Cerebral Cortex 
0,0,203,0,0.021,0.034,5.62,5.05,0,-12,-76,-32,,,
NaN,NaN,NaN,NaN,0.249,0.16,4.81,4.44,0,-22,-76,-40,,,
NaN,NaN,NaN,NaN,0.452,0.276,4.57,4.24,0,-32,-78,-42,,,
0.042,0.055,40,0.012,0.032,0.045,5.49,4.96,0,-30,-24,0,27.0% WM Acoustic radiation L; 15.0% WM Optic radiation L; 9.0% WM Superior longitudinal fascicle L; 2.0% GM Insula Ig2 L; 1.0% GM Insula Id1 L,,84.7% Left Cerebral White Matter; 15.3% Left Putamen; 0.0% Left Pallidum
0.168,0.16,22,0.052,0.047,0.055,5.37,4.87,0,-42,-38,-24,,"52.0% Temporal Fusiform Cortex, posterior division; 25.0% Inferior Temporal Gyrus, posterior division; 5.0% Temporal Occipital Fusiform Cortex; 2.0% Inferior Temporal Gyrus, temporooccipital part",83.5% Left Cerebral Cortex ; 16.5% Left Cerebral White Matter
0.004,0.006,78,0.001,0.049,0.055,5.36,4.86,0,-6,38,18,,"45.0% Cingulate Gyrus, anterior division; 34.0% Paracingulate Gyrus",79.4% Left Cerebral Cortex ; 20.6% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.613,0.38,4.42,4.11,0,-2,42,26,,"72.0% Paracingulate Gyrus; 6.0% Cingulate Gyrus, anterior division; 2.0% Superior Frontal Gyrus",87.1% Left Cerebral Cortex ; 0.6% Right Cerebral Cortex 
0.006,0.009,71,0.002,0.054,0.057,5.33,4.83,0,6,40,30,,74.0% Paracingulate Gyrus; 12.0% Superior Frontal Gyrus,88.6% Right Cerebral Cortex ; 11.4% Right Cerebral White Matter
0,0,194,0,0.055,0.057,5.32,4.83,0,44,-64,-40,,,
NaN,NaN,NaN,NaN,0.163,0.111,4.97,4.56,0,42,-56,-46,,,
NaN,NaN,NaN,NaN,0.302,0.192,4.74,4.38,0,38,-62,-32,,,
0.328,0.29,14,0.112,0.056,0.057,5.32,4.83,0,-30,-20,38,47.0% WM Corticospinal tract L; 32.0% GM Primary somatosensory cortex BA3a L; 30.0% WM Superior longitudinal fascicle L; 28.0% GM Primary motor cortex BA4p L; 2.0% GM Primary somatosensory cortex BA3b L,2.0% Precentral Gyrus,98.8% Left Cerebral White Matter; 1.2% Left Cerebral Cortex 
0,0,292,0,0.057,0.057,5.31,4.82,0,-8,48,-14,,55.0% Frontal Medial Cortex; 2.0% Paracingulate Gyrus,59.7% Left Cerebral Cortex ; 40.3% Left Cerebral White Matter
