set p,set c,Cluster p(FWE-corr),Cluster p(FDR-corr),Cluster size (equivk),Cluster p(unc),Peak (FWE-corr),Peak (FDR-corr),Peak F,Peak equivZ,Peak p(unc),x (mm),y (mm),z (mm),Juelich Histological Atlas,Harvard-Oxford Cortical Structural Atlas
0,13,NaN,0,95591,0,0,0,27.26,Inf,0,8,-32,34,51.0% WM Cingulum R,"23.0% Cingulate Gyrus, posterior division"
NaN,NaN,NaN,NaN,NaN,NaN,0,0,26.28,Inf,0,-8,-44,40,10.0% GM Superior parietal lobule 5M L 2.0% GM Superior parietal lobule 5Ci L,"36.0% Precuneous Cortex 31.0% Cingulate Gyrus, posterior division"
NaN,NaN,NaN,NaN,NaN,NaN,0,0,21.82,Inf,0,-12,-52,56,47.0% GM Superior parietal lobule 7A L 22.0% GM Superior parietal lobule 5M L 16.0% GM Superior parietal lobule 5L L 8.0% GM Superior parietal lobule 5Ci L 4.0% GM Primary somatosensory cortex BA1 L 2.0% GM Superior parietal lobule 7PC L,"46.0% Precuneous Cortex 6.0% Superior Parietal Lobule 3.0% Postcentral Gyrus"
NaN,NaN,0,0,269,0,0,0,10.38,Inf,0,-22,46,-14,NaN,"68.0% Frontal Pole"
NaN,NaN,NaN,NaN,NaN,NaN,0,0,8.91,7.42,0,-30,38,-18,NaN,"56.0% Frontal Pole 25.0% Frontal Orbital Cortex"
NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.056,6.46,5.79,0,-38,30,-12,7.0% GM Broca's area BA45 L,"41.0% Frontal Orbital Cortex 6.0% Frontal Pole"
NaN,NaN,0,0,95,0,0,0,10.15,Inf,0,52,-4,-36,NaN,"43.0% Inferior Temporal Gyrus, anterior division 21.0% Middle Temporal Gyrus, anterior division 8.0% Middle Temporal Gyrus, posterior division 8.0% Inferior Temporal Gyrus, posterior division"
NaN,NaN,0,0,18,0,0,0,8.5,7.16,0,-10,0,14,NaN,"NaN"
NaN,NaN,0,0,37,0,0,0,8.47,7.15,0,-40,-10,-28,10.0% WM Optic radiation L,"24.0% Temporal Fusiform Cortex, posterior division 15.0% Temporal Fusiform Cortex, anterior division 11.0% Inferior Temporal Gyrus, anterior division 11.0% Inferior Temporal Gyrus, posterior division"
NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.049,6.5,5.81,0,-36,-8,-36,NaN,"45.0% Temporal Fusiform Cortex, anterior division 19.0% Temporal Fusiform Cortex, posterior division 4.0% Inferior Temporal Gyrus, anterior division 2.0% Inferior Temporal Gyrus, posterior division 2.0% Parahippocampal Gyrus, anterior division"
NaN,NaN,0,0,43,0,0,0,8.42,7.12,0,-8,2,6,NaN,"NaN"
NaN,NaN,NaN,NaN,NaN,NaN,0,0.002,7.4,6.45,0,-6,14,-2,20.0% WM Callosal body,"1.0% Subcallosal Cortex"
NaN,NaN,0,0,60,0,0,0,8.15,6.94,0,44,-20,-24,NaN,"37.0% Inferior Temporal Gyrus, posterior division 29.0% Temporal Fusiform Cortex, posterior division"
NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,7.61,6.59,0,40,-8,-32,2.0% GM Hippocampus entorhinal cortex R,"23.0% Temporal Fusiform Cortex, anterior division 18.0% Inferior Temporal Gyrus, posterior division 14.0% Inferior Temporal Gyrus, anterior division 14.0% Temporal Fusiform Cortex, posterior division"
NaN,NaN,NaN,NaN,NaN,NaN,0,0.028,6.65,5.92,0,36,-4,-38,12.0% GM Hippocampus entorhinal cortex R,"39.0% Temporal Fusiform Cortex, anterior division 14.0% Inferior Temporal Gyrus, anterior division 6.0% Temporal Fusiform Cortex, posterior division 2.0% Inferior Temporal Gyrus, posterior division"
NaN,NaN,0,0,41,0,0,0,8.01,6.85,0,-38,18,-26,NaN,"75.0% Temporal Pole 8.0% Frontal Orbital Cortex"
NaN,NaN,NaN,NaN,NaN,NaN,0,0.016,6.79,6.02,0,-44,18,-20,NaN,"75.0% Temporal Pole 7.0% Frontal Orbital Cortex"
NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.26,6.05,5.48,0,-32,12,-30,NaN,"90.0% Temporal Pole"
NaN,NaN,0,0,22,0,0,0.001,7.54,6.55,0,-50,4,-28,NaN,"46.0% Temporal Pole 11.0% Middle Temporal Gyrus, anterior division 1.0% Superior Temporal Gyrus, anterior division"
NaN,NaN,0,0,19,0,0,0.002,7.3,6.38,0,-2,-16,-14,NaN,"NaN"
NaN,NaN,0,0.001,10,0,0,0.026,6.66,5.93,0,6,-24,76,63.0% GM Premotor cortex BA6 R 56.0% GM Primary motor cortex BA4a R 39.0% WM Corticospinal tract R 10.0% GM Primary somatosensory cortex BA3b R,"61.0% Precentral Gyrus 1.0% Superior Frontal Gyrus"
NaN,NaN,0,0,12,0,0.001,0.049,6.5,5.81,0,42,22,-24,NaN,"75.0% Temporal Pole 7.0% Frontal Orbital Cortex"
NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.161,6.18,5.58,0,46,18,-16,NaN,"64.0% Temporal Pole 11.0% Frontal Orbital Cortex"
NaN,NaN,0,0,13,0,0.002,0.172,6.17,5.57,0,-26,-8,-38,92.0% GM Hippocampus entorhinal cortex L 1.0% GM Hippocampus subiculum L,"50.0% Parahippocampal Gyrus, anterior division 31.0% Temporal Fusiform Cortex, anterior division 8.0% Temporal Fusiform Cortex, posterior division"
