set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.000,13,NaN,0.000,95591,0.000,0.000,0.000, 27.26,  Inf,0.000,  8, -32, 34
,,,,,,0.000,0.000, 26.28,  Inf,0.000, -8, -44, 40
,,,,,,0.000,0.000, 21.82,  Inf,0.000,-12, -52, 56
,,0.000,0.000,269,0.000,0.000,0.000, 10.38,  Inf,0.000,-22,  46,-14
,,,,,,0.000,0.000,  8.91, 7.42,0.000,-30,  38,-18
,,,,,,0.001,0.056,  6.46, 5.79,0.000,-38,  30,-12
,,0.000,0.000,95,0.000,0.000,0.000, 10.15,  Inf,0.000, 52,  -4,-36
,,0.000,0.000,18,0.000,0.000,0.000,  8.50, 7.16,0.000,-10,   0, 14
,,0.000,0.000,37,0.000,0.000,0.000,  8.47, 7.15,0.000,-40, -10,-28
,,,,,,0.001,0.049,  6.50, 5.81,0.000,-36,  -8,-36
,,0.000,0.000,43,0.000,0.000,0.000,  8.42, 7.12,0.000, -8,   2,  6
,,,,,,0.000,0.002,  7.40, 6.45,0.000, -6,  14, -2
,,0.000,0.000,60,0.000,0.000,0.000,  8.15, 6.94,0.000, 44, -20,-24
,,,,,,0.000,0.001,  7.61, 6.59,0.000, 40,  -8,-32
,,,,,,0.000,0.028,  6.65, 5.92,0.000, 36,  -4,-38
,,0.000,0.000,41,0.000,0.000,0.000,  8.01, 6.85,0.000,-38,  18,-26
,,,,,,0.000,0.016,  6.79, 6.02,0.000,-44,  18,-20
,,,,,,0.004,0.260,  6.05, 5.48,0.000,-32,  12,-30
,,0.000,0.000,22,0.000,0.000,0.001,  7.54, 6.55,0.000,-50,   4,-28
,,0.000,0.000,19,0.000,0.000,0.002,  7.30, 6.38,0.000, -2, -16,-14
,,0.000,0.001,10,0.000,0.000,0.026,  6.66, 5.93,0.000,  6, -24, 76
,,0.000,0.000,12,0.000,0.001,0.049,  6.50, 5.81,0.000, 42,  22,-24
,,,,,,0.002,0.161,  6.18, 5.58,0.000, 46,  18,-16
,,0.000,0.000,13,0.000,0.002,0.172,  6.17, 5.57,0.000,-26,  -8,-38
