set p,set c,Cluster p(FWE-corr),Cluster p(FDR-corr),Cluster size (equivk),Cluster p(unc),Peak (FWE-corr),Peak (FDR-corr),Peak F,Peak equivZ,Peak p(unc),x (mm),y (mm),z (mm),Juelich Histological Atlas,Harvard-Oxford Cortical Structural Atlas
0,14,NaN,0,82828,0,0,0,44.26,Inf,0,12,-42,42,10.0% GM Superior parietal lobule 5Ci R,"31.0% Precuneous Cortex 27.0% Cingulate Gyrus, posterior division"
NaN,NaN,NaN,NaN,NaN,NaN,0,0,33.4,Inf,0,-8,-50,54,20.0% GM Superior parietal lobule 5M L 6.0% GM Superior parietal lobule 5Ci L 6.0% GM Superior parietal lobule 7A L 5.0% GM Superior parietal lobule 5L L,"74.0% Precuneous Cortex 2.0% Cingulate Gyrus, posterior division 1.0% Postcentral Gyrus"
NaN,NaN,NaN,NaN,NaN,NaN,0,0,26.72,Inf,0,-14,-40,40,25.0% GM Superior parietal lobule 5Ci L,"21.0% Cingulate Gyrus, posterior division 16.0% Precuneous Cortex 3.0% Postcentral Gyrus 1.0% Precentral Gyrus"
NaN,NaN,0,0,186,0,0,0,9.1,7.53,0,-10,-26,-34,NaN,"NaN"
NaN,NaN,NaN,NaN,NaN,NaN,0,0,7.76,6.69,0,6,-30,-34,NaN,"NaN"
NaN,NaN,NaN,NaN,NaN,NaN,0,0.004,7.17,6.29,0,-12,-30,-24,NaN,"NaN"
NaN,NaN,0,0,175,0,0,0,8.97,7.45,0,-30,38,-18,NaN,"56.0% Frontal Pole 25.0% Frontal Orbital Cortex"
NaN,NaN,NaN,NaN,NaN,NaN,0,0,8.85,7.38,0,-24,44,-14,NaN,"79.0% Frontal Pole"
NaN,NaN,0,0,14,0,0,0.001,7.56,6.56,0,44,-14,-26,NaN,"24.0% Inferior Temporal Gyrus, posterior division 14.0% Temporal Fusiform Cortex, posterior division 4.0% Inferior Temporal Gyrus, anterior division 2.0% Temporal Fusiform Cortex, anterior division"
NaN,NaN,0,0,29,0,0,0.001,7.54,6.54,0,52,-4,-36,NaN,"43.0% Inferior Temporal Gyrus, anterior division 21.0% Middle Temporal Gyrus, anterior division 8.0% Middle Temporal Gyrus, posterior division 8.0% Inferior Temporal Gyrus, posterior division"
NaN,NaN,0,0,15,0,0,0.001,7.53,6.54,0,-16,-14,22,NaN,"NaN"
NaN,NaN,0,0,17,0,0,0.001,7.44,6.47,0,6,-4,8,NaN,"NaN"
NaN,NaN,0,0,22,0,0,0.002,7.3,6.38,0,-8,2,6,NaN,"NaN"
NaN,NaN,NaN,NaN,NaN,NaN,0,0.009,6.95,6.14,0,-8,10,8,NaN,"NaN"
NaN,NaN,NaN,NaN,NaN,NaN,0,0.043,6.55,5.85,0,-6,14,-2,20.0% WM Callosal body,"1.0% Subcallosal Cortex"
NaN,NaN,0,0.001,11,0,0,0.006,7.04,6.2,0,-10,0,12,NaN,"NaN"
NaN,NaN,0,0.001,10,0,0,0.007,7.01,6.18,0,-38,-10,-28,24.0% WM Optic radiation L,"24.0% Temporal Fusiform Cortex, anterior division 23.0% Temporal Fusiform Cortex, posterior division 7.0% Inferior Temporal Gyrus, anterior division 5.0% Inferior Temporal Gyrus, posterior division 5.0% Parahippocampal Gyrus, anterior division"
NaN,NaN,0,0,24,0,0,0.011,6.92,6.11,0,18,-86,-30,NaN,"NaN"
NaN,NaN,NaN,NaN,NaN,NaN,0.011,0.657,5.8,5.29,0,26,-86,-28,NaN,"3.0% Lateral Occipital Cortex, inferior division"
NaN,NaN,0,0,12,0,0,0.032,6.62,5.9,0,-58,-24,-20,NaN,"36.0% Middle Temporal Gyrus, posterior division 33.0% Inferior Temporal Gyrus, posterior division"
NaN,NaN,0,0,20,0,0.001,0.067,6.43,5.76,0,48,10,-24,NaN,"65.0% Temporal Pole 1.0% Middle Temporal Gyrus, anterior division"
NaN,NaN,0,0.001,11,0,0.001,0.078,6.39,5.73,0,-50,-6,-28,NaN,"21.0% Middle Temporal Gyrus, anterior division 17.0% Inferior Temporal Gyrus, anterior division 4.0% Middle Temporal Gyrus, posterior division 3.0% Inferior Temporal Gyrus, posterior division 2.0% Temporal Fusiform Cortex, posterior division"
