Cluster p(FWE-corr),Cluster p(FDR-corr),Cluster size (equivk),Cluster p(unc),Peak (FWE-corr),Peak (FDR-corr),Peak F,Peak equivZ,Peak p(unc),x (mm),y (mm),z (mm),Juelich Histological Atlas,Harvard-Oxford Cortical Structural Atlas,Harvard-Oxford Subcortical Structural Atlas
0.006,0.009,187,0,0.001,0.004,6.61,5.76,0,50,-6,-8,2.0% GM Insula Id1 R,"32.0% Planum Polare; 4.0% Heschl's Gyrus (includes H1 and H2); 2.0% Insular Cortex; 2.0% Superior Temporal Gyrus, anterior division",57.3% Right Cerebral White Matter; 42.5% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.738,0.382,4.3,4.02,0,38,-16,-8,62.0% WM Optic radiation R; 24.0% GM Insula Id1 R; 10.0% WM Acoustic radiation R; 3.0% GM Insula Ig2 R,8.0% Insular Cortex; 8.0% Planum Polare,74.3% Right Cerebral White Matter; 25.7% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.957,0.501,3.99,3.76,0,50,-10,0,38.0% GM Primary auditory cortex TE1.0 R; 26.0% WM Acoustic radiation R; 5.0% GM Primary auditory cortex TE1.2 R,"23.0% Heschl's Gyrus (includes H1 and H2); 16.0% Planum Polare; 3.0% Superior Temporal Gyrus, anterior division; 2.0% Insular Cortex",51.4% Right Cerebral White Matter; 45.6% Right Cerebral Cortex 
0.061,0.043,111,0.003,0.03,0.101,5.51,4.97,0,36,10,-6,53.0% WM Inferior occipito-frontal fascicle R,57.0% Insular Cortex,69.7% Right Cerebral Cortex ; 30.3% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.693,0.371,4.34,4.05,0,36,6,-14,8.0% WM Inferior occipito-frontal fascicle R,50.0% Insular Cortex; 3.0% Frontal Orbital Cortex,69.3% Right Cerebral Cortex ; 30.7% Right Cerebral White Matter
0.012,0.014,162,0.001,0.134,0.279,5.03,4.61,0,28,-38,-26,,"6.0% Temporal Fusiform Cortex, posterior division; 4.0% Temporal Occipital Fusiform Cortex",10.0% Right Cerebral Cortex 
NaN,NaN,NaN,NaN,0.163,0.279,4.97,4.56,0,30,-58,-28,,,
NaN,NaN,NaN,NaN,0.442,0.29,4.58,4.25,0,30,-48,-28,,,
0.092,0.057,99,0.005,0.224,0.279,4.85,4.47,0,-8,12,38,,"35.0% Paracingulate Gyrus; 31.0% Cingulate Gyrus, anterior division",66.6% Left Cerebral Cortex ; 33.4% Left Cerebral White Matter
NaN,NaN,NaN,NaN,1,0.92,3.35,3.2,0.001,-12,18,24,99.0% WM Callosal body; 1.0% WM Cingulum L,"1.0% Cingulate Gyrus, anterior division",99.2% Left Cerebral White Matter; 0.8% Left Cerebral Cortex 
0.002,0.008,229,0,0.288,0.279,4.76,4.39,0,-14,-40,42,24.0% GM Superior parietal lobule 5Ci L,"32.0% Precuneous Cortex; 19.0% Cingulate Gyrus, posterior division; 6.0% Postcentral Gyrus; 2.0% Precentral Gyrus",60.1% Left Cerebral Cortex ; 39.9% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.662,0.371,4.37,4.08,0,-12,-48,54,16.0% GM Superior parietal lobule 5M L; 10.0% GM Superior parietal lobule 7A L; 10.0% GM Superior parietal lobule 7PC L; 5.0% GM Superior parietal lobule 5L L; 2.0% GM Primary somatosensory cortex BA3b L; 1.0% GM Primary somatosensory cortex BA3a L,"34.0% Precuneous Cortex; 14.0% Postcentral Gyrus; 2.0% Precentral Gyrus; 2.0% Cingulate Gyrus, posterior division",51.7% Left Cerebral Cortex ; 42.6% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.999,0.704,3.7,3.51,0,-4,-48,64,34.0% GM Superior parietal lobule 5L L; 29.0% GM Primary motor cortex BA4p L; 20.0% GM Superior parietal lobule 5M L; 20.0% GM Superior parietal lobule 7A L; 20.0% GM Superior parietal lobule 7PC L; 15.0% GM Primary somatosensory cortex BA3a L; 10.0% GM Primary motor cortex BA4a L; 5.0% WM Corticospinal tract L,54.0% Precuneous Cortex; 21.0% Postcentral Gyrus; 2.0% Precentral Gyrus; 1.0% Superior Parietal Lobule,79.6% Left Cerebral Cortex ; 11.4% Left Cerebral White Matter
0.005,0.009,189,0,0.35,0.279,4.68,4.33,0,14,-42,50,32.0% GM Superior parietal lobule 5Ci R; 14.0% GM Superior parietal lobule 5M R; 6.0% GM Superior parietal lobule 5L R,"35.0% Precuneous Cortex; 19.0% Postcentral Gyrus; 4.0% Cingulate Gyrus, posterior division; 1.0% Precentral Gyrus",60.8% Right Cerebral Cortex ; 37.2% Right Cerebral White Matter
NaN,NaN,NaN,NaN,1,0.92,3.31,3.17,0.001,12,-54,60,37.0% GM Superior parietal lobule 5L R; 14.0% GM Superior parietal lobule 7PC R; 11.0% GM Superior parietal lobule 7A R; 9.0% GM Superior parietal lobule 5M R,"49.0% Precuneous Cortex; 21.0% Superior Parietal Lobule; 3.0% Postcentral Gyrus; 2.0% Lateral Occipital Cortex, superior division",78.0% Right Cerebral Cortex ; 18.1% Right Cerebral White Matter
0.868,0.559,28,0.1,0.46,0.29,4.56,4.23,0,14,-34,-30,,,51.6% Brain-Stem
0.14,0.079,87,0.007,0.508,0.298,4.52,4.2,0,-10,-12,38,9.0% WM Cingulum L,"22.0% Cingulate Gyrus, anterior division; 8.0% Cingulate Gyrus, posterior division; 4.0% Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex); 1.0% Precentral Gyrus",63.0% Left Cerebral White Matter; 35.7% Left Cerebral Cortex 
0.044,0.035,121,0.002,0.515,0.298,4.51,4.19,0,16,-30,40,49.0% GM Superior parietal lobule 5Ci R; 1.0% GM Superior parietal lobule 5M R,"29.0% Precentral Gyrus; 20.0% Cingulate Gyrus, posterior division; 5.0% Precuneous Cortex; 3.0% Postcentral Gyrus",61.1% Right Cerebral Cortex ; 38.2% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.972,0.523,3.94,3.72,0,10,-22,38,18.0% WM Cingulum R; 8.0% GM Premotor cortex BA6 R,"35.0% Cingulate Gyrus, posterior division",64.1% Right Cerebral White Matter; 35.9% Right Cerebral Cortex 
0.646,0.407,41,0.051,0.667,0.371,4.37,4.07,0,-14,-34,-30,,,46.0% Brain-Stem
